titre,numéro,mots_clefs,catégorie
L'histoire oubliée de Chalk River,15/10/2021,"Énergie atomique du Canada. Laboratoires nucléaires de Chalk River
Accidents nucléaires -- Ontario -- Chalk River -- Histoire
Réacteurs nucléaires -- Sécurité -- Ontario -- Chalk River",humaines
Obtenir un éléphant... pour des pinottes,15/10/2021,"Animaux de jardin zoologique -- Commerce
Jardins zoologiques -- Gestion",humaines
Derrière le sourire des émojis,15/10/2021,Émojis -- Aspect psychologique,humaines
Première étape du retour sur la Lune,15/09/2021,"Artemis (Programme spatial : États-Unis)
Vaisseaux spatiaux -- États-Unis
Vaisseaux spatiaux -- Conception et construction
Vol spatial habité
Vol vers la Lune
Programme spatial -- États-Unis",naturelles
Vive les données libres!,15/09/2021,"Roche, Dominique
Données ouvertes
Données de recherche
Édition en libre accès
Chercheurs -- Pratique de publication
Édition scientifique
Recherche -- Évaluation
Recherche -- Coopération internationale",humaines
Ces gaz qui nous polluent la vie,15/09/2021,"Air -- Qualité
Pollution de l'air
Gaz à effet de serre -- Recherche
Changements climatiques, Lutte contre les
Gaz carbonique -- Captage et stockage",naturelles
Avant que la terre tremble,15/09/2021,"Tremblements de terre -- Turquie -- Istanbul
Risques sismiques -- Turquie -- Istanbul
Conception parasismique -- Turquie -- Istanbul",naturelles
Sus aux contaminants!,15/09/2021,"Langlois, Valérie
Substances dangereuses
Polluants
Animaux -- Malformations
Toxicologie endocrinienne",naturelles
Télescope aquatique pour neutrinos cosmiques,15/09/2021,"Télescopes à neutrinos -- Russie -- Sibérie
Détecteurs de neutrinos -- Russie -- Sibérie
Neutrinos -- Recherche
Rayonnement cosmique galactique",naturelles
"C'est quoi, être un homme?",15/09/2021,"Femmes victimes de violence -- Afrique noire
Études sur les hommes -- Afrique noire
Rôle selon le sexe -- Afrique noire
Égalité des sexes -- Afrique noire",humaines
Pleins feux sur les oiseaux!,15/07/2021,"Ornithologie -- Recherche -- Québec (Province)
Oiseaux -- Chant
Oiseaux des prairies -- Protection -- Québec (Province)",naturelles
Bruyant Saint-Laurent,15/07/2021,"Acoustique sous-marine -- Atlas -- Saint-Laurent (Fleuve)
Acoustique sous-marine -- Atlas -- Québec (Province)
Mer -- Bruits
Mammifères marins -- Effets du bruit sur
Milieux aquatiques -- Protection -- Saint-Laurent (Fleuve)
Milieux aquatiques -- Protection -- Québec (Province)",naturelles
"Le cerveau, sculpté par la vie",15/07/2021,"Cyrulnik, Boris
Psychologie de l'environnement
Êtres humains -- Influence sur la nature
Résilience (Sciences sociales)",humaines
Voyage dans le temps à Florence,15/07/2021,"Buonsignori, Stefano
DECIMA (Projet)
Cartographie -- Informatique
Documents d'archives -- Reproduction
Florence (Italie) -- Histoire -- 1421-1737",humaines
Regarder nos ancêtres dans les yeux,15/07/2021,"Visage -- Reconstruction -- Informatique
Imagerie en archéologie
Anthropométrie
Restes humains (Archéologie)",humaines
La valeur de l'or bleu,15/07/2021,"Ressources en eau -- Exploitation
Ressources en eau -- Mesure",naturelles
Premier contact avec un visiteur intersidéral,15/07/2021,"Matière interstellaire -- Observations
Oumuamua (Astéroïde)",naturelles
L'envol d'une collection,15/06/2021,"Papillons -- Collections et conservation
Papillons -- Collectionneurs -- Canada",naturelles
Une horloge millénaire défie la science,15/06/2021,"Astronomie grecque
Astronomie -- Instruments -- Histoire
Horloges astronomiques -- Reconstitution",humaines
La crise sanitaire nous a usés,15/06/2021,"Épidémie de la Covid-19, 2019-
Résilience (Sciences sociales)
Guérison -- Aspect psychologique
Isolement social -- Aspect psychologique
Minorités sexuelles, Intervention auprès des",humaines
Fournir sa juste part d'efforts,15/06/2021,"Holz, Christian
Climate Equity Reference Project
Réseau Action Climat (Organisme)
Changements climatiques, Lutte contre les",naturelles
Les milliards d'arbres qui cachent la forêt,15/06/2021,"Flash Forest (Firme)
Reboisement -- Aspect de l'environnement
Changements climatiques, Lutte contre les
Drones de livraison",naturelles
"Le changement climatique, un sujet d'actualité depuis 500 ans!",15/06/2021,"Locher, Fabien
Locher, Fabien. Révoltes du ciel : une histoire du changement climatique, XVe-XXe siècle
Fressoz, Jean-Baptiste. Révoltes du ciel : une histoire du changement climatique, XVe-XXe siècle
Climat -- Changements -- Histoire",humaines
Femme de coeur,15/06/2021,"Dayan, Natalie
Condition cardiovasculaire -- Recherche -- Québec (Province)
Système cardiovasculaire -- Maladies -- Différences entre sexes
Femmes -- Maladies
Grossesse -- Complications",naturelles
Même la science n'est pas à l'abri de la publicité,15/06/2021,"Raoult, Didier
Médicaments -- Essais cliniques
Chloroquine
Infections à coronavirus -- Recherche -- France
Infections à coronavirus -- Traitement
Sciences -- Aspect social",humaines
Les délices de l'espace lointain,15/06/2021,"Astronautes -- Alimentation
Sciences -- Expériences dans l'espace
Agriculture -- Recherche",naturelles
Casse-tête dentaire,15/04/2021,"Dents -- Extraction
Dents -- Extraction -- Complications et séquelles
Dents de sagesse",naturelles
Suaire de Turin,15/04/2021,"Jésus-Christ -- Reliques
Saint Suaire
Controverses religieuses -- Église catholique -- Histoire
Controverses scientifiques -- Histoire
Parasciences",humaines
Les cartes,15/04/2021,"Cartographie -- Histoire
Cartes anciennes
Vision du monde -- Histoire",humaines
Une épidémie de chiffres,15/04/2021,"Épidémie de la Covid-19, 2019-
Covid-19 -- Mortalité
Statistique -- Aspect sociologique",humaines
Pourquoi faut-il croire en la science?,15/04/2021,"Oreske, Naomi
Sciences -- Philosophie
Consensus d'experts",humaines
Vol de nuit,15/04/2021,"Réalité virtuelle -- Aspect physiologique
Rêves lucides -- Aspect physiologique
Rêves -- Recherche",naturelles
Des fossiles surprenants à Schefferville,15/04/2021,"Demers-Potvin, Alexandre
Cournoyer, Mario
Insectes fossiles -- Québec (Province) -- Schefferville, Région de
Paléontologie -- Crétacé",naturelles
Physique des particules,15/04/2021,"Physique des particules
Collisionneurs
Physique théorique
Cosmologie",naturelles
Contre les pirates électriques,15/04/2021,"Piratage informatique
Électricité -- Distribution
Sécurité informatique
Réseaux électriques (Énergie) -- Sécurité -- Mesures
Réseaux électriques (Énergie) -- Québec (Province)
Pannes d'électricité -- Prévention",naturelles
"Petits caillots, gros dégâts au cerveau",15/04/2021,"Rivard, Lena
Fibrillation auriculaire -- Complications et séquelles
Cerveau -- Lésions et blessures -- Étiologie et facteurs de risque
Fibrillation auriculaire -- Traitement
Anticoagulants",naturelles
Ode à la laideur,15/04/2021,"Animaux -- Curiosités et merveilles
Plantes -- Curiosités et merveilles",naturelles
Vingt mille lieux... sous terre,15/04/2021,"Soil Biodiversity Observation Network
Biodiversité du sol -- Protection",naturelles
Ce n'est pas la fin du monde,15/03/2021,"Larrère, Catherine
Larrère, Raphaël
Collapsologie",humaines
Pour une meilleure solidarité internationale,15/03/2021,"Sondarjee, Maïka
Justice sociale
Pays industrialisés -- Relations -- Pays en voie de développement",humaines
La face cachée du mouvement international,15/03/2021,"Changements climatiques, Lutte contre les -- Aspect social
Groupes ethniques, Attitude envers les
Minorités -- Intégration sociale -- Canada",humaines
"La Covid-19, un an plus tard",15/03/2021,"Épidémie de la Covid-19, 2019-
Infections à coronavirus -- Recherche -- Québec (Province)
Covid-19 -- Lutte contre la -- Québec (Province)",naturelles
Dame Turbine,15/01/2021,"Deschênes, Claire
Turbines hydrauliques
Ingénieures -- Québec (Province)
Femmes dans les sciences -- Québec (Province)",naturelles
Y a-t-il une transmission dans l'avion?,15/01/2021,"Covid-19 -- Transmission
Transports aériens -- Aspect de la santé",naturelles
Les ruines d'un lieu de fête,15/01/2021,"Fouilles (Archéologie) -- Turquie
Sites archéologiques -- Turquie
Chasseurs-cueilleurs -- Turquie -- Histoire
Néolithique
Préhistoire -- Turquie
Rites et cérémonies -- Turquie -- Histoire
Göbekli Tepe (Turquie : Site archéologique)",humaines
Un pas de géant vers l'infiniment petit,15/01/2021,"Cryomicroscopie
Biologie moléculaire -- Recherche
Résolution (Optique)
Médicaments -- Recherche",naturelles
Des robots capables de douceur,15/01/2021,"Biomimétique
Robotique molle
Robots -- Conception et construction
Robotique -- Recherche -- Québec (Province)",naturelles
La forêt des mal-aimés,15/01/2021,"Lichens
Lichénologie
Lichens -- Canada",naturelles
"Il y a eu des bonnes nouvelles en 2020. Si, si!",15/01/2021,"Année 2020
Environnement -- Protection",naturelles
L'humain après l'humain,15/01/2021,"Després, Élaine
Transhumanisme
Post-humains
Êtres humains -- Évolution
Littérature de science-fiction -- Thèmes, motifs
Avenir de l'humanité dans la littérature",humaines
Covid-19,15/12/2020,"Villes -- Aspect de l'environnement
Écologie urbaine
Urbanisme -- Aspect de l'environnement
Santé urbaine
Transition écologique",humaines
Lumière sur les études noires,15/12/2020,"Noirs -- Canada -- Conditions sociales -- Recherche
Noirs -- Canada -- Histoire -- Recherche
Chercheurs noirs -- Canada",humaines
C'est dans l'air,15/12/2020,"Covid-19 -- Transmission
Aérosols -- Aspect de la santé
Espace personnel",naturelles
Farah Alibay à la conquête de Mars,15/12/2020,"Alibay, Farah
Mars 2020 (Sonde spatiale)
Perseverance (Robot)
Robots d'exploration -- États-Unis
Ingénieures -- Québec (Province)
Mars (Planète) -- Exploration",naturelles
Des marraines en renfort au Sénégal,15/12/2020,"Centre de recherches pour le développement international (Canada). Innovation pour la santé des mères et des enfants d'Afrique
Femmes -- Santé -- Recherche -- Sénégal
Enfants -- Santé -- Recherche -- Sénégal
Femmes -- Santé, Services de -- Recherche -- Sénégal
Santé publique -- Recherche -- Sénégal
Solidarité -- Sénégal -- Aspect sociologique
Relations entre générations -- Sénégal
Aidants naturels -- Sénégal",humaines
"Place aux \nanosuperhéros\""""",15/12/2020,"Vetrone, Fiorenzo
Prix Keith Laidler (2020)
Nanoparticules -- Recherche
Cancer -- Traitement
Photochimiothérapie
Chimie -- Prix et récompenses
Cancer -- Recherche",naturelles
Les sursauts de l'Univers,15/12/2020,"Kaspi, Victoria
Radiotélescopes -- Canada
Sursauts d'ondes radio rapides
CHIME (Radiotélescope)",naturelles
MétX-boulot-dodo,15/10/2020,"Télétravail
Télétravail -- Aspect psychologique
Télétravail -- Québec (Province) -- Enquêtes
Organisation du travail
Gestion du personnel
Télétravailleurs -- Conditions de travail",humaines
"Après le côlon irritable, le SIBO",15/10/2020,Prolifération bactérienne intestinale,naturelles
Le dernier service,15/10/2020,"Anatomie -- Étude et enseignement (Universitaire) -- Québec (Province)
Dons d'organes, de tissus, etc
Cadavres -- Examens médicaux",humaines
La ville post-COVID-19 sera-t-elle plus verte?,15/10/2020,"Villes -- Aspect de l'environnement
Aménagement urbain -- Aspect de l'environnement",humaines
Des technos qui vous veulent (vraiment) du bien,15/10/2020,"Nouvelles entreprises -- Québec (Province)
Inventions -- Québec (Province)
Innovations technologiques et industrielles -- Québec (Province)",naturelles
Montréal et la bombe,15/10/2020,"Halban, Hans
Armes nucléaires -- Histoire
Énergie nucléaire -- Recherche -- Québec (Province) -- Histoire
Eau lourde
Guerre mondiale, 1939-1945
Physique nucléaire -- Québec (Province) -- Histoire
Physiciens -- France -- Biographies",humaines
Fouilles en orbite,15/10/2020,"Gorman, Alice
Archéologie spatiale
Débris spatiaux",naturelles
La vie en fluo,15/10/2020,"Rayonnement ultraviolet
Biofluorescence",naturelles
Faut-il jouer avec le feu?,15/10/2020,"Vaccins contre les infections à coronavirus -- Recherche
Infections à coronavirus -- Recherche
Expérimentation humaine en médecine -- Aspect moral",humaines
"C'est grave, docteur?",15/10/2020,"Hypocondrie
Hypocondrie -- Traitement
Hypocondriaques -- Soins médicaux",humaines
Cancres du climat,15/09/2020,"Climat -- Changements
Sciences naturelles -- Etude et enseignement (Secondaire)",humaines
Un animal au sang bleu saigné à blanc,15/09/2020,"Endotoxines
Hémolymphe
Limule -- Emploi en thérapeutique
Liquides organiques -- Produits de remplacement
Limule -- Protection",naturelles
Le poisson qui avait des doigts,15/09/2020,"Poissons fossiles -- Québec (Province) -- Gaspésie
Fouilles (Paléontologie) -- Québec (Province) -- Gaspésie
Doigts
Pattes -- Évolution",naturelles
Les scientifiques augmentés,15/09/2020,"Génie des matériaux -- Automatisation
Génie des matériaux -- Recherche
Matériaux -- Recherche",naturelles
"Les minuscules, grands oubliés",15/09/2020,"Micro-organismes -- Aspect de l'environnement
Micro-organismes -- Facteurs climatiques
Réchauffement de la terre -- Aspect de l'environnement
Climat -- Changements -- Aspect de l'environnement",naturelles
Les dures leçons de la COVID-19,15/09/2020,"Contandriopoulos, Damien
Covid-19 -- Lutte contre la -- Québec (Province)
Épidémie de la Covid-19, 2019-
Santé, Services de -- Gestion -- Québec (Province)",naturelles
Un ennemi silencieux,15/09/2020,"Dion, Patrice
Arachides -- Contamination -- Haïti
Aflatoxines -- Aspect de l'environnement
Aflatoxines -- Lutte contre les",naturelles
Monstres de feu sous surveillance,15/09/2020,"Risques volcaniques
Volcanisme -- Prévision",naturelles
Pourquoi les femmes vivent-elles plus longtemps?,15/09/2020,"Espérance de vie -- Différences entre sexes
Longévité -- Différences entre sexes
Physiologie comparée",naturelles
